4.01.1.,Уголь,
4.01.2.,Газ,
4.01.3.,Мазут,
4.01.4.,Прочие виды топлива,
4.02.1.,Электроэнергия по РД (возврат),
4.02.2.1.,Электроэнергия (покупка): в результате конкурентного отбора на РСВ,
4.02.2.2.,Электроэнергия (покупка): в результате конкурентного отбора на БР,
4.02.2.3.,Электроэнергия (покупка): по свободным двусторонним договорам на РСВ,
4.02.2.4.,Электроэнергия (покупка): по свободным договорам электроэнергии и мощности (СДЭМ),
4.02.3.1.,Мощность (возвраты): по регулируемым договорам,
4.02.3.2.,Мощность (возвраты): СДЭМ,
4.02.3.3.,Мощность (возвраты): ДПМ,
4.02.3.4.,Мощность (возвраты): в результате конкурентного отбора,
4.02.3.5.,Мощность (возвраты): прочие виды продажи мощности,
4.02.4.,Мощность (покупка),
4.03.1.,Покупная тепловая энергия внутри Холдинга,
4.03.2.,Покупная тепловая энергия от прочих поставщиков,
4.04.,Вода на технологические нужды,
4.05.1.1.,ГСМ для транспорта (ж/д),
4.05.1.2.,"ГСМ для транспорта (автомобильная, автотракторная и специальная техника)",
4.05.1.3.,"ГСМ для транспорта (автомобильная, автотракторная и специальная техника, кроме категории В)",
4.05.2.,"Покупная электроэнергия на ПХН, не входящая в баланс",
4.05.3.,Сырье и материалы на ремонты,
4.05.4.,Сырье и материалы по промышленной эксплуатации (в т.ч. ж/д),
4.05.5.1.,"Запасные части для транспорта (автомобильная, автотракторная и специальная техника, кроме категории В), эксплуатационные материалы",
4.05.5.2.,Комплектующие и материалы к оргтехнике и технике связи,
4.05.5.3.,"Сырье и материалы по охране труда, вкл. СО и СИЗ, ЛПП",
4.05.5.4.,Сырье и материалы по пожарной охране,
4.05.5.5.,Сырье и материалы по ГО и ЧС,
4.05.5.6.,"Хознужды, канцтовары, мебель и прочее имущество некапитального характера",
4.05.5.7.,Продукты питания,
4.05.5.8.,Приобретение подарков и сувенирной продукции,
4.05.5.9.,"Запасные части для автотранспорта, кроме ж/д (автомобильная техника категории В), эксплуатационные материалы",
4.06.1.1.,"Ремонт основного и вспомогательного оборудования, зданий. сооружений",
4.06.1.2.,Ремонт лифтов и оборудования непромышленного характера,
4.06.1.3.,Ремонт автомобильного транспорта категории В,
4.06.1.4.,Ремонт оргтехники и оборудования IT,
4.06.1.5.,"Ремонт автомобильной, автотракторной и специальной техникой (кроме категории В)",
4.06.2.1.,Транспортные услуги (ж/д),
4.06.2.2.,"Транспортные услуги (кроме ж/д), проездные билеты",
4.06.3.,Услуги коммерческого учета электроэнергии,
4.06.4.,Услуги по передаче теплоэнергии,
4.06.5.1.,"Услуги по эксплуатации (промышленная, в т.ч. ж/д)",
4.06.5.2.,"Услуги по эксплуатации автомобильной, автотракторной и специальной техники, кроме легковой",
4.06.5.3.,ТО и эксплуатация легкового транспорта,
4.06.5.4.,Обслуживание лифтов и оборудования,
4.06.5.5.,Услуги по испытанию и поверке приборов,
4.06.6.,Прочие услуги производственного характера,
4.11.01.,Плата за пользование водными объектами,
4.11.02.,"Оплата услуг ОАО ""СО ЕЭС""",
4.11.03.,"Оплата услуг операторов рынка (НП ''АТС'', ЗАО ''ЦФР'', биржа ""Арена"" и др.)",
4.11.04.,Услуги связи и передачи данных,
4.11.05.,Коммунальные услуги,
4.11.06.1.,Проф.подготовка,
4.11.06.2.,Повышение квалификации и обучение,
4.11.06.3.,"Семинары, форумы, конференции и т.д.",
4.11.07.1.,Программное обеспечение,
4.11.07.2.,"Сопровождение, обслуживание ПО",
4.11.07.3.,Прочие IT расходы,
4.11.08.,Аудиторские услуги,
4.11.09.1.,"Юридические, нотариальные услуги, услуги по заверению документов",
4.11.09.2.,"Судебные издержки, исполнительное производство, выплаты по решениям суда и мировым соглашениям, госпошлины и выписки из ЕГРЮЛ по судебным делам",
4.11.09.3.,Госпошлина за регистрацию прав собственности по основным производственным фондам (ОПФ),
4.11.10.,Консультационные услуги,
4.11.11.,"Услуги, связанные с обеспечением пожарной безопасности",
4.11.12.,"Услуги вневедомственной, сторожевой охраны",
4.11.13.,Услуги по управлению,
4.11.14.,"Услуги, связанные со сбором и взысканию денежных средств по э/э",
4.11.15.,"Услуги, связанные со сбором и взысканию денежных средств по т/э",
4.11.16.,"Услуги PR, реклама и т.д.",
4.11.17.,"Курьерская доставка, почтово - телеграфные услуги, спецсвязь",
4.11.18.,"Услуги СЭС (дератизация, дезинфекция и пр.)",
4.11.19.,Расходы на уборку,
4.11.20.,Вывоз и утилизация ТБО и мусора,
4.11.21.,Услуги по охране труда,
4.11.22.,Предрейсовый осмотр водителей,
4.11.23.,Услуги по ГО и ЧС,
4.11.24.,"Услуги по тех.инвентаризации, изготовлению землеустроительных дел и регистрации прав и сделок по недвижимому имуществу",
4.11.25.,Расходы на управление капиталом (расходы по оценке продаже регистрации непрофильных или неиспользуемых в основной деятельности активов),
4.11.26.,Командировочные расходы ,
4.11.27.,Представительские расходы,
4.11.28.1.1.,Арендная плата за имущество электростанций,
4.11.28.1.2.,Арендная плата за имущество теплосетей (в т.ч. котельные),
4.11.28.1.3.,Арендная плата за прочее имущество,
4.11.28.2.,Арендная плата за землю,
4.11.28.3.,Арендная плата за движимое имущество,
4.11.29.,Лизинг,
4.11.30.,Расходы на страхование,
4.11.31.1.,Плата за негативное воздействие на окружающую среду,
4.11.31.2.,Прочие экологические платежи,
4.11.32.1.,Расходы на проведение общего собрания акционеров,
4.11.32.2.,Выплата вознаграждения СД и РК,
4.11.32.3.,Услуги реестродержателя,
4.11.33.,Подписка,
4.11.34.,"Специальная литература, нормативная и техническая документация",
4.11.35.1.,Расходы по благоустройству (кроме осуществляющихся в рамках инвестиций и ремонтов),
4.11.35.2.,Содержание законсервированных объектов,
4.11.35.3.,Прочие работы и услуги сторонних организаций,
4.11.35.4.,Прочие расходы,
4.11.39.,Расходы социального характера (кроме выплат на руки персоналу),
4.11.39.1.,"Расходы социального характера, оплачиваемые за персонал 3-м лицам",
4.11.39.2.,Расходы социального характера (неперсонал),
4.11.39.3.,Затраты на культурно-массовую работу,
4.11.39.4.,Затраты на физкультурно-оздоровительную работу,
4.11.39.5.,Затраты на реализацию мероприятий по улучшению жилищных условий работников,
4.11.43.,"Проведение мероприятий, торжеств",
4.11.44.1.,Выбытия без доходов (расходы связанные с ликвидацией и списанием объектов),
4.11.44.2.,Работы и услуги по демонтажу,
4.11.45.,Списание прочих РБП,
6.2.,Уступка права требования,
8.1.1.1.,"ПИР, ТЭО"
8.1.1.2.,Проектные работы,
8.1.1.3.,Строительно - монтажные работы,
8.1.1.4.,Оборудование,
8.1.1.5.,Материалы,
8.1.1.6.,Прочие,
8.1.2.1.,"ПИР, ТЭО"
8.1.2.2.,Проектные работы,
8.1.2.3.,Строительно - монтажные работы,
8.1.2.4.,Оборудование,
8.1.2.5.,Материалы,
8.1.2.6.,Прочие,
8.1.3.1.,"ПИР, ТЭО"
8.1.3.2.,Проектные работы,
8.1.3.3.,Строительно - монтажные работы,
8.1.3.4.,Оборудование,
8.1.3.5.,Материалы,
8.1.3.6.,Прочие,
8.1.4.1.,"ПИР, ТЭО"
8.1.4.2.,Проектные работы,
8.1.4.3.,Строительно - монтажные работы,
8.1.4.4.,Оборудование,
8.1.4.5.,Материалы,
8.1.4.6.,Прочие,
8.1.5.1.,"Акции (покупка), вложения в ДЗО",
8.1.5.2.,Приобретение прочих долгосрочных финансовых вложений,
8.1.6.,Нематериальные активы в ПО,
8.1.7.,Прочие вложения,
