212,Ватт,Вт,W,ВТ,WTT
214,Киловатт,кВт,kW,КВТ,KWT
215,"Мегаватт; тысяча киловатт","МВт; 10^3 кВт",MW,"МЕГАВТ; ТЫС КВТ",MAW
222,Вольт,В,V,В,VLT
223,Киловольт,кВ,kV,КВ,KVT
227,Киловольт-ампер,кВ.А,kV.A,КВ.А,KVA
228,"Мегавольт-ампер (тысяча киловольт-ампер)",МВ.А,MV.A,МЕГАВ.А,MVA
230,Киловар,квар,kVAR,КВАР,KVR
243,Ватт-час,Вт.ч,W.h,ВТ.Ч,WHR
245,Киловатт-час,кВт.ч,kW.h,КВТ.Ч,KWH
246,"Мегаватт-час; 1000 киловатт-часов","МВт.ч; 10^3 кВт.ч",МW.h,"МЕГАВТ.Ч; ТЫС КВТ.Ч",MWH
247,"Гигаватт-час (миллион киловатт-часов)",ГВт.ч,GW.h,ГИГАВТ.Ч,GWH
260,Ампер,А,A,А,AMP
263,"Ампер-час (3,6 кКл)",А.ч,A.h,А.Ч,AMH
264,"Тысяча ампер-часов","10^3 А.ч","10^3 A.h","ТЫС А.Ч",TAH
270,Кулон,Кл,C,КЛ,COU
271,Джоуль,Дж,J,ДЖ,JOU
273,Килоджоуль,кДж,kJ,КДЖ,KJO
274,Ом,Ом,<омега>,ОМ,OHM
280,"Градус Цельсия","град. C","град. C","ГРАД ЦЕЛЬС",CEL
281,"Градус Фаренгейта","град. F","град. F","ГРАД ФАРЕНГ",FAN
282,Кандела,кд,cd,КД,CDL
283,Люкс,лк,lx,ЛК,LUX
284,Люмен,лм,lm,ЛМ,LUM
288,Кельвин,K,K,К,KEL
289,Ньютон,Н,N,Н,NEW
290,Герц,Гц,Hz,ГЦ,HTZ
291,Килогерц,кГц,kHz,КГЦ,KHZ
292,Мегагерц,МГц,MHz,МЕГАГЦ,MHZ
294,Паскаль,Па,Pa,ПА,PAL
296,Сименс,См,S,СИ,SIE
297,Килопаскаль,кПа,kPa,КПА,KPA
298,Мегапаскаль,МПа,MPa,МЕГАПА,MPA
300,"Физическая атмосфера (101325 Па)",атм,atm,АТМ,ATM
301,"Техническая атмосфера (98066,5 Па)",ат,at,АТТ,ATT
302,Гигабеккерель,ГБк,GBq,ГИГАБК,GBQ
304,Милликюри,мКи,mCi,МКИ,MCU
305,Кюри,Ки,Ci,КИ,CUR
306,"Грамм делящихся изотопов","г Д/И","g fissile isotopes","Г ДЕЛЯЩ ИЗОТОП",GFI
308,Миллибар,мб,mbar,МБАР,MBR
309,Бар,бар,bar,БАР,BAR
310,Гектобар,гб,hbar,ГБАР,HBA
312,Килобар,кб,kbar,КБАР,KBA
314,Фарад,Ф,F,Ф,FAR
316,"Килограмм на кубический метр",кг/м3,kg/m3,КГ/М3,KMQ
323,Беккерель,Бк,Bq,БК,BQL
324,Вебер,Вб,Wb,ВБ,WEB
327,"Узел (миля/ч)",уз,kn,УЗ,KNT
328,"Метр в секунду",м/с,m/s,М/С,MTS
330,"Оборот в секунду",об/с,r/s,ОБ/С,RPS
331,"Оборот в минуту",об/мин,r/min,ОБ/МИН,RPM
333,"Километр в час",км/ч,km/h,КМ/Ч,KMH
335,"Метр на секунду в квадрате",м/с2,m/s2,М/С2,MSK
349,"Кулон на килограмм",Кл/кг,C/kg,КЛ/КГ,CKG
