499,"Килограмм в секунду",кг/с,-,КГ/С,KGS
533,"Тонна пара в час","т пар/ч",-,"Т ПАР/Ч",TSH
596,"Кубический метр в секунду",м3/с,m3/s,М3/С,MQS
598,"Кубический метр в час",м3/ч,m3/h,М3/Ч,MQH
599,"Тысяча кубических метров в сутки","10^3 м3/сут",-,"ТЫС М3/СУТ",TQD
616,Бобина,боб,-,БОБ,NBB
625,Лист,л.,-,ЛИСТ,LEF
626,"Сто листов","100 л.",-,"100 ЛИСТ",CLF
630,"Тысяча стандартных условных кирпичей","тыс станд. усл. кирп",-,"ТЫС СТАНД УСЛ КИРП",MBE
641,"Дюжина (12 шт.)",дюжина,"Doz; 12",ДЮЖИНА,DZN
657,Изделие,изд,-,ИЗД,NAR
683,"Сто ящиков","100 ящ.",Hbx,"100 ЯЩ",HBX
704,Набор,набор,-,НАБОР,SET
715,"Пара (2 шт.)",пар,"pr; 2",ПАР,NPR
730,"Два десятка",20,20,"2 ДЕС",SCO
732,"Десять пар","10 пар",-,"ДЕС ПАР",TPR
733,"Дюжина пар","дюжина пар",-,"ДЮЖИНА ПАР",DPR
734,Посылка,посыл,-,ПОСЫЛ,NPL
735,Часть,часть,-,ЧАСТЬ,NPT
736,Рулон,рул,-,РУЛ,NPL
737,"Дюжина рулонов","дюжина рул",-,"ДЮЖИНА РУЛ",DRL
740,"Дюжина штук","дюжина шт",-,"ДЮЖИНА ШТ",DPC
745,Элемент,элем,CI,ЭЛЕМ,NCL
778,Упаковка,упак,-,УПАК,NMP
780,"Дюжина упаковок","дюжина упак",-,"ДЮЖИНА УПАК",DZP
781,"Сто упаковок","100 упак",-,"100 УПАК",CNP
796,Штука,шт,"pc; 1",ШТ,"PCE; NMB"
797,"Сто штук","100 шт",100,"100 ШТ",CEN
798,"Тысяча штук","тыс. шт; 1000 шт",1000,"ТЫС ШТ",MIL
799,"Миллион штук","10^6 шт",10^6,"МЛН ШТ",MIO
800,"Миллиард штук","10^9 шт",10^9,"МЛРД ШТ",MLD
801,"Биллион штук (Европа); триллион штук","10^12 шт",10^12,"БИЛЛ ШТ (ЕВР); ТРИЛЛ ШТ",BIL
802,"Квинтильон штук (Европа)","10^18 шт",10^18,"КВИНТ ШТ",TRL
820,"Крепость спирта по массе","креп. спирта по массе","% mds","КРЕП СПИРТ ПО МАССЕ",ASM
821,"Крепость спирта по объему","креп. спирта по объему","% vol","КРЕП СПИРТ ПО ОБЪЕМ",ASV
831,"Литр чистого (100%) спирта","л 100% спирта",-,"Л ЧИСТ СПИРТ",LPA
833,"Гектолитр чистого (100%) спирта","Гл 100% спирта",-,"ГЛ ЧИСТ СПИРТ",HPA
841,"Килограмм пероксида водорода","кг H2О2",-,"КГ ПЕРОКСИД ВОДОРОДА",-
845,"Килограмм 90%-го сухого вещества","кг 90% с/в",-,"КГ 90 ПРОЦ СУХ ВЕЩ",KSD
847,"Тонна 90%-го сухого вещества","т 90% с/в",-,"Т 90 ПРОЦ СУХ ВЕЩ",TSD
852,"Килограмм оксида калия","кг К2О",-,"КГ ОКСИД КАЛИЯ",KPO
859,"Килограмм гидроксида калия","кг КОН",-,"КГ ГИДРОКСИД КАЛИЯ",KPH
861,"Килограмм азота","кг N",-,"КГ АЗОТ",KNI
863,"Килограмм гидроксида натрия","кг NaOH",-,"КГ ГИДРОКСИД НАТРИЯ",KSH
865,"Килограмм пятиокиси фосфора","кг Р2О5",-,"КГ ПЯТИОКИСЬ ФОСФОРА",KPP
867,"Килограмм урана","кг U",-,"КГ УРАН",KUR
