165,"Тысяча каратов метрических","10^3 кар",,"ТЫС КАР"
167,"Миллион каратов метрических","10^6 кар",,"МЛН КАР"
169,"Тысяча тонн","10^3 т",,"ТЫС Т"
171,"Миллион тонн","10^6 т",,"МЛН Т"
172,"Тонна условного топлива","т усл. топл",,"Т УСЛ ТОПЛ"
175,"Тысяча тонн условного топлива","10^3 т усл. топл",,"ТЫС Т УСЛ ТОПЛ"
176,"Миллион тонн условного топлива","10^6 т усл. топл",,"МЛН Т УСЛ ТОПЛ"
177,"Тысяча тонн единовременного хранения","10^3 т единовр. хран",,"ТЫС Т ЕДИНОВР ХРАН"
178,"Тысяча тонн переработки","10^3 т перераб",,"ТЫС Т ПЕРЕРАБ"
179,"Условная тонна","усл. т",,"УСЛ Т"
207,"Тысяча центнеров","10^3 ц",,"ТЫС Ц"
