114,"Тысяча кубических метров","10^3 м3",,"ТЫС М3"
115,"Миллиард кубических метров","10^9 м3",,"МЛРД М3"
116,Декалитр,дкл,,ДКЛ
119,"Тысяча декалитров","10^3 дкл",,"ТЫС ДКЛ"
120,"Миллион декалитров","10^6 дкл",,"МЛН ДКЛ"
121,"Плотный кубический метр","плотн. м3",,"ПЛОТН М3"
123,"Условный кубический метр","усл. м3",,"УСЛ М3"
124,"Тысяча условных кубических метров","10^3 усл. м3",,"ТЫС УСЛ М3"
125,"Миллион кубических метров переработки газа","10^6 м3 перераб. газа",,"МЛН М3 ПЕРЕРАБ ГАЗА"
127,"Тысяча плотных кубических метров","10^3 плотн. м3",,"ТЫС ПЛОТН М3"
128,"Тысяча полулитров","10^3 пол. л",,"ТЫС ПОЛ Л"
129,"Миллион полулитров","10^6 пол. л",,"МЛН ПОЛ Л"
130,"Тысяча литров; 1000 литров","10^3 л; 1000 л",,"ТЫС Л"
